mu value,method,allocation,deaths,disparity index,final dead,total infected
6.53,No equity,"[10000, 10000]","[59059, 59059]",0.0,118118,1825013
6.53,Nash Bargaining,"[10000, 10000]","[59059, 59059]",0.0,118118,1825013
6.53,Min Max,"[10000, 10000]","[59059, 59059]",0.0,118118,1825013
6.53,Lambda-penalized 0.033,"[10000, 10000]","[59059, 59059]",0.0,118118,1825013
6.53,Lambda-penalized 0.067,"[10000, 10000]","[59059, 59059]",0.0,118118,1825013
6.53,Lambda-penalized 0.1,"[10000, 10000]","[59059, 59059]",0.0,118118,1825013
6.53,K-constrained 75%,"[10000, 10000]","[59059, 59059]",0.0,118118,1825013
6.53,K-constrained 50%,"[10000, 10000]","[59059, 59059]",0.0,118118,1825013
6.53,K-constrained 25%,"[10000, 10000]","[59059, 59059]",0.0,118118,1825013
5.22,No equity,"[12000, 8000]","[58889.0315686972, 47278.43611186284]",0.054680570755293346,106167,1823680
5.22,Nash Bargaining,"[10000, 10000]","[59021.70537168575, 47158.299937478914]",0.05586459239507531,106180,1823444
5.22,Min Max,"[20000, 0]","[58528.09083870371, 47983.02583718791]",0.049502180291677654,106511,1830661
5.22,Lambda-penalized 0.033,"[16500, 3500]","[58650.734133111684, 47609.68900745917]",0.051952762841186995,106260,1826026
5.22,Lambda-penalized 0.067,"[19500, 500]","[58540.03877960045, 47908.7701237081]",0.04993606206317035,106449,1829561
5.22,Lambda-penalized 0.1,"[20000, 0]","[58528.09083870371, 47983.02583718791]",0.049502180291677654,106511,1830661
5.22,K-constrained 75%,"[15500, 4500]","[58696.58030431365, 47527.440736464414]",0.052573511426203416,106224,1825265
5.22,K-constrained 50%,"[12000, 8000]","[58889.0315686972, 47278.43611186284]",0.054680570755293346,106167,1823680
5.22,K-constrained 25%,"[12000, 8000]","[58889.0315686972, 47278.43611186284]",0.054680570755293346,106167,1823680
4.35,No equity,"[13000, 7000]","[58803.30315338241, 39425.32844623185]",0.09863709995542003,98229,1822947
4.35,Nash Bargaining,"[10000, 10000]","[58997.105790890404, 39269.54191869731]",0.10037771884971054,98267,1822409
4.35,Min Max,"[20000, 0]","[58500.55973600773, 39961.10573480338]",0.09414554340795891,98462,1829688
4.35,Lambda-penalized 0.033,"[18000, 2000]","[58562.773827341654, 39762.25617958176]",0.09560392529977403,98325,1826494
4.35,Lambda-penalized 0.067,"[20000, 0]","[58500.55973600773, 39961.10573480338]",0.09414554340795891,98462,1829688
4.35,Lambda-penalized 0.1,"[20000, 0]","[58500.55973600773, 39961.10573480338]",0.09414554340795891,98462,1829688
4.35,K-constrained 75%,"[16000, 4000]","[58646.57529841723, 39612.82989267877]",0.09685457269317588,98259,1824613
4.35,K-constrained 50%,"[13000, 7000]","[58803.30315338241, 39425.32844623185]",0.09863709995542003,98229,1822947
4.35,K-constrained 25%,"[13000, 7000]","[58803.30315338241, 39425.32844623185]",0.09863709995542003,98229,1822947
3.73,No equity,"[14500, 5500]","[58701.8596893814, 33865.79582000444]",0.1341508744750413,92568,1822904
3.73,Nash Bargaining,"[10000, 10000]","[58979.685644097684, 33654.83143243]",0.13669232058902078,92635,1821675
3.73,Min Max,"[20000, 0]","[58481.05878811965, 34250.43721996013]",0.13064936192794888,92731,1828998
3.73,Lambda-penalized 0.033,"[19000, 1000]","[58508.45808843812, 34154.09490855288]",0.13141426818164667,92663,1827080
3.73,Lambda-penalized 0.067,"[20000, 0]","[58481.05878811965, 34250.43721996013]",0.13064936192794888,92731,1828998
3.73,Lambda-penalized 0.1,"[20000, 0]","[58481.05878811965, 34250.43721996013]",0.13064936192794888,92731,1828998
3.73,K-constrained 75%,"[15000, 5000]","[58676.13831720538, 33893.067453848926]",0.13386239331387856,92569,1823198
3.73,K-constrained 50%,"[14500, 5500]","[58701.8596893814, 33865.79582000444]",0.1341508744750413,92568,1822904
3.73,K-constrained 25%,"[14500, 5500]","[58701.8596893814, 33865.79582000444]",0.1341508744750413,92568,1822904
3.27,No equity,"[15000, 5000]","[58662.38998472279, 29702.398015533763]",0.1638661316604129,88365,1822664
3.27,Nash Bargaining,"[10000, 10000]","[58966.81987197675, 29492.909619340237]",0.16659507338607457,88460,1821133
3.27,Min Max,"[20000, 0]","[58466.65361008799, 30016.75393983471]",0.16076403733774453,88483,1828487
3.27,Lambda-penalized 0.033,"[19500, 500]","[58478.81352521209, 29969.499345044012]",0.16116369693782678,88448,1827368
3.27,Lambda-penalized 0.067,"[20000, 0]","[58466.65361008799, 30016.75393983471]",0.16076403733774453,88483,1828487
3.27,Lambda-penalized 0.1,"[20000, 0]","[58466.65361008799, 30016.75393983471]",0.16076403733774453,88483,1828487
3.27,K-constrained 75%,"[15500, 4500]","[58637.6111877453, 29727.184417000855]",0.16358565972392541,88365,1822995
3.27,K-constrained 50%,"[15000, 5000]","[58662.38998472279, 29702.398015533763]",0.1638661316604129,88365,1822664
3.27,K-constrained 25%,"[15000, 5000]","[58662.38998472279, 29702.398015533763]",0.1638661316604129,88365,1822664
